attack_type,train,test,train_only,test_only
ARP_Spoofing,16047,1744,False,False
Benign,192732,37607,False,False
MQTT-DDoS-Connect_Flood,173036,41916,False,False
MQTT-DDoS-Publish_Flood,27623,8416,False,False
MQTT-DoS-Connect_Flood,12773,3131,False,False
MQTT-DoS-Publish_Flood,44376,8505,False,False
MQTT-Malformed_Data,5130,1747,False,False
Recon-OS_Scan,16832,3834,False,False
Recon-Ping_Sweep,740,186,False,False
Recon-Port_Scan,83981,22622,False,False
Recon-VulScan,2173,1034,False,False
TCP_IP-DDoS-ICMP,1537476,349699,False,False
TCP_IP-DDoS-SYN,801962,172397,False,False
TCP_IP-DDoS-TCP,804465,182598,False,False
TCP_IP-DDoS-UDP,1635956,362070,False,False
TCP_IP-DoS-ICMP,416292,98432,False,False
TCP_IP-DoS-SYN,441903,98595,False,False
TCP_IP-DoS-TCP,380384,82096,False,False
TCP_IP-DoS-UDP,566950,137553,False,False
